PubChem_ID,Structure_SMILES,QED,MolecularVolume,SurfaceArea,RadiusOfGyration,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,Predicted_pIC50
31101,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.456327225,653.2212815,746.1466864,5.480523284,654.606,3.1928,3,6,5,7,5950,256,118.21,1.24810026,29.00710808,9.887132014,4.035007459,18.22333611
53322923,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2,0.632743097,445.2226231,533.5778944,5.642233547,445.527,3.3142,2,8,4,5,3379,180,85.86,1.423904109,21.01978609,8.589562077,4.025663006,18.22207008
56656450,Cn1nc(-c2cccc(-n3ncc4cc(C(C)(C)C)cc(F)c4c3=O)c2CO)cc(Nc2ccc(C(=O)N3CCOCC3)cn2)c1=O,0.284310997,639.2605454,739.7029051,7.013898809,639.688,3.6863,2,11,6,6,9096,258,144.47,1.356898511,31.70192563,12.49539181,6.142678224,18.21771118
146410727,O=C1CCC(N2C(=O)c3cccc(NCCOCCC(=O)N4CCN(c5cccc(-c6cnc7ccc(N8CCCC8c8cccc(F)c8)nn67)n5)CC4)c3C2=O)C(=O)N1,0.137892973,814.3351073,944.4270167,9.671831533,814.879,3.8405,2,13,12,9,21368,332,174.68,0.752599395,38.75074136,16.48193845,7.512204082,18.21181388
16222096,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)(C2CCCCN2)C1,0.526222572,531.0630596,489.985263,4.928936489,531.316,3.7811,3,4,4,4,2520,164,64.6,1.567787707,21.38464106,8.351218107,4.019336348,18.20963261
44274046,Cc1cc(C(=O)Nc2ccc(N3CCOCC3=O)cc2F)n(-c2cc3ccccc3cc2F)n1,0.492649563,462.1503469,507.2115678,5.24965017,462.456,4.22762,1,5,4,5,3664,186,76.46,1.445927186,21.72090224,8.67720122,4.012916896,18.20116114
45263835,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5[nH]4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,0.047533745,735.2563541,842.3757108,9.593605393,736.665,4.28017,7,9,15,5,13381,266,200.09,1.208501083,36.60656266,15.90882773,8.740475951,18.19774334
18444335,O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,0.723626654,365.1175696,413.2336333,4.121113445,365.364,2.6965,1,4,3,4,1834,146,83.13,1.744268886,17.08335363,6.753013601,3.118731458,18.19139481
56967888,CCc1cc2ncc(CN3CCN(c4ccc(C(=O)NC)nc4)CC3)cc2[nH]c1=O,0.667938398,406.2117241,513.5273297,5.06102053,406.49,1.5623,2,6,5,4,2972,158,94.22,1.384675635,20.03071998,8.624598717,4.182226653,18.18648644
10173796,CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2C(F)(F)F)CC1,0.504070758,454.1841273,506.574042,5.616883661,454.46,3.7005,1,8,4,5,3399,182,74.48,1.441561148,21.13336908,8.31913772,4.311248921,18.18431205
6861503,CC(C)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,0.828731279,268.1324111,324.9766947,3.282374787,268.32,1.8394,2,3,1,4,687,116,60.49,2.029764702,11.66723611,3.927614169,1.46701271,18.18146312
117902575,Cn1cc(C2=C(c3cn(CCO)c4ccccc34)C(=O)NC2=O)c2ccccc21,0.530532257,385.1426415,464.7458521,3.900946991,385.423,2.6925,2,5,4,5,2003,164,76.26,1.845025616,17.45788847,6.460659743,2.531644457,18.17773367
45261050,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5n4C)cn3C)cn2C)cc1C(=O)NCCC(=N)N,0.052605445,749.2720042,875.0170501,9.830872143,750.692,4.29057,6,10,15,5,13912,272,189.23,1.228421484,37.58199908,16.12326218,8.435566208,18.1704791
60202647,CC1CCC(n2c3cnccc3c3cnc(Nc4ccc5c(n4)CCN(C(=O)CO)C5)nc32)CC1,0.466542356,471.2382732,573.9542416,5.672657225,471.565,3.7463,2,8,4,6,3982,196,109.06,1.325682225,21.91085974,8.884827848,3.992233916,18.1703659
53377644,Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C=O)CC4)cc3)ncc12,0.623485868,432.2273741,541.5870292,5.689028644,432.528,3.23702,1,7,5,5,3264,174,83.36,1.387809594,20.48087883,8.607070092,3.923453188,18.16759148
5330339,O=c1cc(C(F)(F)F)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n1C1CCCC1,0.613900106,458.2041941,524.7561514,5.40613265,458.488,4.0786,2,7,4,5,3335,182,75.08,1.499925549,21.69244722,8.659759667,4.3911099,18.16722522
44182308,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)c5cccnc5)CC4)c3n2)cc1,0.290873193,604.2658849,704.9186624,5.669845555,604.675,4.2412,2,10,6,7,8297,244,143.29,1.134483983,28.34701091,12.66256424,6.151671431,18.1634448
5330356,Cc1c(I)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,0.49779411,530.1291075,529.0669945,5.716816087,530.414,3.97282,2,7,4,5,2857,170,75.08,1.470874438,20.68875669,8.738936643,4.025546245,18.16297913
5330042,CCN1CCCN(C(=O)c2ccc(-c3[nH]nc4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)s2)CC1,0.34988862,549.2158235,641.2553999,5.424473713,549.657,2.8861,3,8,5,6,5512,214,122.9,1.20719395,25.68488766,10.88825948,4.95812821,18.1590289
25019940,O=C(CN1C(=O)C2(CCCC2)NCC1c1cc(F)cc(F)c1)Nc1ccc2c(c1)CC1(C2)C(=O)Nc2ncccc21,0.453364414,557.2238462,646.6856476,5.303008839,557.601,3.7729,3,5,4,7,5908,238,103.43,1.120442611,25.76568075,9.44207714,4.195493851,18.15715045
73051434,O=c1[nH]cnc2[nH]c(-c3ccnc(C=Cc4ccc(CN5CCOCC5)cc4)c3)cc12,0.524187292,413.185175,504.4941613,6.224931597,413.481,3.3158,2,5,5,5,3283,166,86.9,1.304307416,19.4156709,8.670771054,4.473832142,18.15644888
46182711,O=C(CN1C(=O)C2(CCCC2)NCC1c1cc(F)cc(F)c1)Nc1ccc2c(c1)CC1(C2)N=C(c2ccccc2)NC1=O,0.425360467,583.2394963,681.7389564,6.08628002,583.639,3.8032,3,5,5,7,6968,246,102.9,1.096997624,27.39667312,10.37573356,4.889311402,18.15536507
11291932,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCNCC1,0.729428679,380.1648541,455.7609151,4.614912619,380.423,2.0885,2,4,3,4,2096,148,78.09,1.652560975,18.3101515,7.89759488,3.658384513,18.15479047
107715,CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,0.408638865,611.3107694,768.123912,5.417839778,611.743,2.7172,3,6,5,8,6771,268,118.21,1.116381101,28.72388177,10.13707745,4.07740576,18.15310463
11589642,CNc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.514569962,411.194677,523.60205,4.636087568,411.505,4.6354,2,4,4,5,2727,170,57.5,1.501990845,19.2464006,7.835587372,3.523430296,18.1530069
507865,O=C(NCc1ccccc1)c1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,0.30538052,512.1859835,600.3140705,5.876399765,512.541,3.4043,2,4,6,5,5311,202,102.58,1.289375834,24.88461839,10.67626752,4.904235266,18.14901558
73755145,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)CN1CCOCC1,0.509658061,442.2016336,550.4932098,5.313116868,442.491,1.68624,4,5,6,4,3292,170,106.69,1.472337698,22.19348644,9.234168127,4.594859401,18.14870534
25133632,CN1CCCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,0.740892307,394.1805042,481.9802192,3.85244213,394.45,2.4307,1,4,3,4,2323,154,69.3,1.632071019,19.26485819,8.126207151,4.04807314,18.14243488
9932698,NCc1ccc2c(c1)c(C1CCN(CCN3CCNC3=O)CC1)cn2-c1ccc(F)cc1,0.623482666,435.2434388,558.3069731,5.472798469,435.547,3.4329,2,4,6,5,3168,174,66.53,1.353419233,20.97247287,8.919792446,4.100202114,18.14182873
44461297,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(CC2CC2)CC1,0.689272673,420.1961543,524.7041716,3.820781162,420.488,2.8208,1,4,5,5,2929,170,69.3,1.342400815,19.87704225,8.227186917,4.229967324,18.1417561
