PubChem_CID,Structure_SMILES,predicted_pIC50
11058928,COc1ccc(C2=NN(Cc3cccc(C(=O)O)c3)C(=O)C3CCCCC23)cc1OC,18.917747
11397833,CN1CCN(C(=O)c2cc(-c3ccc(CC(C#N)NC(=O)C4NC5CCC4C5)c(F)c3)cs2)CC1,18.909746
70983932,Cc1ncc(Cl)cc1NCc1ccc(C(=O)NC(CC2CCCC2)C(=O)NC2CC2)s1,18.903587
54684173,Cn1nnc(CN2CCn3c(nc(C(=O)NCc4ccc(F)cc4)c(O)c3=O)C2(C)C)n1,18.89714
54698291,Cn1nnnc1CN1CCn2c(nc(C(=O)NCc3ccc(F)cc3)c(O)c2=O)C1(C)C,18.89714
135534630,C[n+]1cccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(NC(=N)N)cc4)cc3)cc2)c1,18.88878
139597475,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CSCC(N)C(=O)O,18.887745
44351682,CN(C(=O)c1ccccc1)C(CCCN=C(N)N)C(=O)NCC1=CC(CC(=O)O)C(=O)N(c2ccccc2)CC1,18.8811
4235339,Cc1ccc2[nH]c(=O)c(C3=NN(C(=O)CCC(=O)O)C(c4ccc(Br)cc4)C3)c(-c3ccccc3)c2c1,18.875835
54684196,CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1Cc1nn[nH]n1,18.865835
10918616,O=C(NN=Cc1ccc(CC(=O)N2CCN(c3ccc(F)cc3)CC2)c2ccccc12)c1ccc(O)c(Cl)c1,18.857105
11082135,O=C(NN=Cc1ccc(CC(=O)N2CCN(c3ccccc3F)CC2)c2ccccc12)c1ccc(O)c(Cl)c1,18.857105
54582048,Cc1cc(CC(CCCCNCc2ccc(F)cc2)C(=O)NO)ccc1F,18.855526
146455745,CN1CCN(Cc2cc(C(=O)NC(c3ccc(F)c(Cl)c3)C3CC3)cc(-c3cccnc3C(F)(F)F)c2)C1=N,18.851377
122648367,CN(Cc1nc2c(N3CCOCC3)nc(-c3ccc(N)cc3)nc2n1C)c1ncc(C(=O)NO)cn1,18.844505
6914601,NCCCCC(NC(=O)CCCCCCCCCc1ccccc1CN=C(N)N)C(=O)NO,18.84329
446385,Cc1nccn1CCCCc1ccc(CC(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NCCC2CCCCC2)cc1,18.841698
5327158,CNC(=O)C1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1cccc(C(=O)O)c1,18.840414
72203102,CS(=O)(=O)CCOc1cnc(-c2nn(Cc3ccccc3F)c3c2CCC3)nc1Nc1ccncc1C(N)=O,18.839912
899020,Cn1nc(-c2ccc(Cl)cc2)sc1=Nc1cccc(C(N)=O)c1,18.838337
9951949,Cc1c(N2CCC(C(C)N)C2)c(F)cc2c(=O)[nH]c(=O)n(C3CC3)c12,18.837687
50938551,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCSC(N)=N1,18.837435
72703790,CCCCC(C)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,18.822086
126720627,Cc1[nH]c2ccccc2c1CCNCc1ccc(C=CC(=O)NO)cc1,18.817192
10208564,N=C(N)c1ccc(CNC(=O)C2CCCN2C(=O)C(NCC(=O)O)C(c2ccccc2)c2ccccc2)cc1,18.816378
44289877,CNC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,18.811953
155598377,Cn1c2c(c3ccccc31)CCN(Cc1ccc(C(=O)NO)cc1F)C2,18.811625
90462243,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,18.801558
2723870,NC(=S)N1N=C(c2ccccc2)CC1=O,18.799477
21045424,CC1C(=O)NCCCN1C(=O)CC(N)Cc1cc(F)c(F)cc1F,18.798954
23646444,CC1C(=O)NCCCN1C(=O)CC(N)Cc1cc(F)ccc1F,18.798954
10962541,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCc3cc(F)cc(F)c3)c2=O)cc1,18.798725
11006026,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCc3cc(F)ccc3F)c2=O)cc1,18.798725
46905281,N=C(N)c1ccc(CNC(=O)C2CCCN2C(=O)C(NS(=O)(=O)O)C(c2ccccc2)c2ccccc2)cc1,18.798553
44266118,CCCCCNc1c(NC(Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c(=O)c1=O,18.796654
23645155,Cc1nc2ccc(S(=O)(=O)O)cc2c2c1C(=O)N(c1c(C)nn(C)c1C)C2=O,18.793772
153572609,COc1cc(CN2CCc3c(cc(CN=C(N)C4CC4)cc3-c3ccc(F)cc3C)C2=O)cc(OC)c1,18.789145
155801618,Cc1ccc(NC2CNC2)cc1C(=O)NC(C)c1cccc(-c2ccc(CN3CCCC3)s2)c1,18.788033
164590662,CC(C)C1C=CC(C)N2CN1n1cc(C(=O)NCc3c(F)cc(F)cc3F)c(=O)c(O)c1C2=O,18.787851
138628908,CC(C)(C)OC(=O)NCC1CCC(CNC(=O)c2cc(-c3ccc(CN)cc3)nc3ccccc23)CC1,18.782871
9549904,NC(=O)C1CCCCNc2c(F)cc([N+](=O)[O-])cc2C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)N1,18.782045
444396,CN(CC1=Nc2c(N)nc(N)nc2NC1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,18.781567
